from	to
2308722	2901002
11210589	9803111
11210589	4333359
4150078	11161774
4150078	7964527
4150078	3711940
4150078	6779307
4150078	11180560
11109146	2901002
11109146	4909087
10029062	7812912
7671519	2901002
10854520	2901002
10494720	10964685
6414747	7505395
6414747	7964527
2938496	9108239
4948889	7671519
4948889	6792743
4948889	9698684
4948889	6286540
4948889	2901002
7590993	4819353
7590993	1782792
11173141	9081267
10719369	9698684
10719369	8727339
9936834	5847854
11132325	10201580
11132325	10712188
6674648	6674648
6674648	7237997
11171453	9742036
3096094	7053679
3096094	7053679
4526288	5855649
4526288	9177877
1839946	4909087
10791231	9698684
9518098	10142285
8060611	11150801
11148219	2695448
11146521	2901002
9919507	11141229
687739	8052902
8051444	2901002
8526986	2901002
8526986	4593642
8526986	2901002
8051444	2901002
5565466	9362747
5610840	3538107
10209499	7964527
10209499	2336654
10209499	4909087
4150078	10728920
9281012	5304366
4808588	5368599
4808588	11058247
8846998	366553
8846998	8846998
8795734	2901002
11100832	10734525
10230456	5692012
8417039	2901002
8526986	4323
11025776	7093741
11025776	221794
3524158	1168212
2110805	7077050
2006697	9067615
2006697	10089195
4436803	4490749
2293224	6942527
3403590	7318615
4701426	9960182
4701426	2901002
2716095	9129474
2716095	11035063
10755534	11021886
2198720	748858
1334657	2901002
11053304	7077050
8389470	6220759
2006598	3545273
9677043	9380597
5431734	2901002
5431734	9462009
5847425	4075155
5847425	8899386
5847425	8453690
7158436	5496433
7158436	6942527
7158436	9698684
7637930	6177877
7637930	4492932
9371703	3021415
9371703	10025972
6752994	2258013
7637930	7386332
7637930	2901002
9840637	2901002
9840637	4333359
9840637	8123710
4948889	8708364
4948889	4909087
10719369	8795073
10719369	6220759
10719369	10164573
10719369	7093741
1437138	9863207
10335144	6004983
9615917	6177877
9615917	4139744
9615917	7964527
9615917	2901002
10416218	2421817
3524158	4167945
3524158	9462829
11047864	196826
927827	10888655
5868293	8120908
5868293	2695448
5868293	7932273
5868293	4001592
11024951	10972959
11038901	9698684
11038901	2901002
11038901	9840637
3146365	7388477
3146365	2535611
8293309	11035961
8293309	4909087
6647375	4001592
1058584	1240268
4948889	2901002
4948889	7678879
2938496	4267414
2938496	4001592
501054	8953378
7852656	10998325
7852656	10998325
10719369	2901002
10719369	6361531
10719369	9840637
2717063	2901002
3088202	2901002
8727339	2084384
10985548	4893407
7420623	9962315
7420623	3483203
7420623	2406949
10834788	10834788
825227	11019598
825227	7165168
825227	736937
2129285	11019173
2129285	4333359
5413088	2357112
9530105	9698684
9530105	9209546
10834788	5625497
10834788	6250439
11000498	5916727
10865832	9209546
7347631	190597
7759833	9209546
8160881	2901002
8160881	9869695
8051444	10953743
8051444	2421817
9530105	4541412
9530105	9698684
9530105	9209546
9530105	9334238
9530105	10089328
8051444	9209546
10429891	4194079
10429891	6220759
10429891	2825570
9177877	7964527
6525082	1391671
9530105	9209546
4436803	5647272
4436803	4785185
1305886	8628758
1305886	5162768
6083404	7964527
10603191	2901002
10791217	9865110
9111050	5820814
10719867	5916727
10719867	7964527
10719867	4565947
10964500	9209546
10964500	7964527
10883088	8628758
10422855	4684861
8211523	9209546
8211523	9840637
6162307	2901002
7932273	2901002
2504762	2535611
2504762	6817835
2504762	7964527
9800981	2901002
9800981	2702737
5939036	2901002
5939036	6063482
9228219	1505540
10913191	7141506
6865678	7227627
6865678	100297
10938654	7964527
10780075	6047722
10780075	2901002
9800981	8539533
4803521	9177877
1696605	2901002
1696605	7093741
9530105	7223727
3685856	2937831
3685856	3685856
8222863	453475
8222863	8626601
9924147	5625497
9924147	9209546
8003817	10862252
10067043	10067043
10067043	10852841
10067043	5374924
8727339	2901002
3796599	5552309
3796599	4431194
7932273	2901002
9512152	5704863
9512152	7359176
8474517	5704863
6699237	8547198
10831574	5374924
1467082	2547724
7644267	10322766
4984061	10611983
4984061	7964527
10891071	5374924
10891071	1168212
10335283	3407256
10335283	521776
9772551	9209546
9772551	5820814
9542954	3152047
9542954	9209546
9800981	4016285
9800981	8345749
9800981	4499795
10865832	6361531
10865832	4838587
10865832	2901002
7004463	6361531
7004463	9299259
10865832	6361531
10801499	9108239
3116949	4238408
3116949	4001592
8741108	5510588
10542945	6817835
10818522	6615163
10818522	9198381
10112876	2847946
10112876	9198381
10112876	9299259
1243255	9177877
1243255	9209546
1243255	4333359
10801499	3679377
10801499	9209546
8207612	4098013
10507187	9209546
10833061	9698684
10833061	9209546
10833061	4909087
2397318	3149277
2397318	974555
2397318	2303761
2397318	2131903
6338443	2258013
5129031	9274732
5129031	7168104
10464813	4001592
10464813	5704863
9143467	6079395
9968110	7964527
10838789	1456927
5604992	4909087
9331478	3117592
10767482	4248842
10830071	7964527
10742470	5375464
4520017	4492932
2598876	9637318
2598876	2303761
2598876	772649
10821372	1869152
10821372	6615163
10805303	5820814
4966699	4381487
4966699	4381487
5120089	10201580
5120089	2901002
5120089	9698684
10770660	5704863
10770660	9754169
10770660	9698684
7420623	9209546
8727339	8708364
8727339	2901002
2293224	7964527
10211367	9307263
10150468	5820814
10516752	8467973
9590712	2901002
10133689	2891152
10813833	1505540
2170140	10067173
4317794	5516874
8791503	2891152
651174	651174
651174	542190
9431057	9209546
9431057	3639023
9978457	9209546
9978457	4909087
9978457	7964527
10332687	9505737
10719867	4390160
8791503	6047722
4964409	6615163
4964409	9845763
4964409	8252763
10741532	4909087
439621	6287308
439621	1212401
439621	2966617
439621	4909087
10789500	2739274
10720165	9177877
4150078	4016285
4150078	9274732
4150078	7388477
2304735	9142590
2304735	7752296
9775974	9775974
9840637	9512152
9840637	3073185
3277133	5820814
1941253	5828883
10543130	7964527
9177877	4909087
3277133	5866580
3277133	7964527
3277133	4909087
5656327	7964527
5656327	4909087
9210757	9497965
9210757	4909087
10376194	7400128
10376194	9553594
10376194	3483203
10395806	10699910
6912791	7057003
6912791	4492932
9832302	9754169
6896605	10464813
5820814	2901002
5820814	2901002
5820814	4542359
5820814	3510736
8849216	6361531
3446351	4909087
2362852	2901002
596841	7964527
7420623	7420623
7420623	8046232
7420623	6109920
7000874	7000874
8468264	8468264
8468264	9500059
6945824	8708364
2867882	9948827
8469518	10687003
7644562	7964527
7644562	8046232
5820814	4800652
5820814	8708364
5820814	2901002
7058823	4909087
7058823	7964527
10582772	541038
10582772	8146556
4150078	10653196
4150078	3390419
4150078	3288092
5713272	10239789
5713272	2901002
5713272	4098013
5704863	190597
9760446	7964527
9747311	2901002
9747311	4198852
8335487	9209546
8335487	9698684
8335487	4684861
9467345	3483203
8335487	2540669
8335487	2570261
9177877	9209546
2782382	7964527
8335487	5820814
6540590	10719722
4150078	4001592
10512735	9209546
10512735	10239789
3277133	5960182
8080957	10717233
9773812	7964527
9773812	6031995
5453723	6154287
5453723	5465130
5453723	6147621
5453723	5453723
1155578	6671176
3277133	7964527
10655721	10655721
10655721	5736515
10339255	3254400
9590712	4703367
9590712	2298012
9590712	4843503
7166834	5720196
7166834	8727339
7166834	2901002
7166834	9698684
5071733	6845383
10395806	7141506
10395806	6345518
10395806	6154787
9933449	9209546
766708	7954504
766708	7835267
766708	10633290
10395806	4279661
10096185	8708364
10096185	6296473
2260344	2901002
4520274	6799297
4520274	6866811
3936294	7954504
10586136	5811078
8482467	9209546
1970751	9209546
1970751	4267414
8688154	9209546
7376796	10417489
7376796	7964527
9776699	5120049
9776699	2901002
9776699	5178905
8224364	2901002
9794732	5811078
3800761	6108661
2649064	4551984
8916344	4829258
5218354	5811078
3277133	8320861
10609992	2336654
2298012	8208006
2298012	9274732
10530575	8146556
10530575	2336654
7081275	5820814
7081275	8146556
9932027	3908247
9932027	8111755
7810784	1163373
10464893	3279716
10464893	9492673
10361602	2901002
3277133	7964527
3277133	6671176
1243255	6671176
9629771	4333359
9629771	7964527
3277133	7964527
10535881	7359176
10535881	8334261
10535881	7954504
3277133	67579
5071733	8111755
5071733	2027457
5071733	3650983
3277133	4801783
3277133	8643941
3277133	67579
3277133	3483203
3277133	9209546
7698116	6342812
10561031	9108532
10561031	8305660
10561031	3894543
10561031	8146556
10561031	5535114
10518845	2901002
9289272	3740545
613326	9799449
613326	8811397
10453850	4008392
8792365	9209546
8792365	2901002
