UserId	PostId	PostTypeID
9024698	56497810	1
9024698	56497242	1
11196704	56495506	1
6157474	56482582	1
11053801	56488068	1
11600963	56483566	1
11196704	56478713	1
1768419	56474599	1
10539466	56473288	1
7535419	56469674	1
11451039	56466917	1
8791503	56463180	1
11600963	56452194	1
11135962	56463806	1
7867536	56462911	1
11091145	56459241	1
5868293	56458887	1
11247027	56440656	1
8212173	56455922	1
11451522	56452681	1
4133063	40996175	1
7469605	42422509	1
4982782	56427846	1
11588430	56411591	1
11585893	56404272	1
9405787	56399778	1
11523244	56400124	1
9024698	56395681	1
11135962	56394247	1
7535419	56350893	1
4375983	56365692	1
8579587	56057451	1
5868293	56359442	1
5868293	56358888	1
3116753	56351417	1
11135962	56349724	1
4526288	56347686	1
10396157	56327292	1
10267489	56318192	1
8051444	56318580	1
11337707	56195891	1
9978457	56311222	1
9431573	56309106	1
11334842	56303169	1
10603191	56295534	1
11529730	56280633	1
8809326	56277129	1
6796805	56266678	1
11325655	56263312	1
11404137	56257314	1
8359315	56250770	1
9218680	56248587	1
2634219	56244477	1
7462428	56206872	1
7371506	56229316	1
6571327	56226054	1
8340881	56227285	1
11529730	56226474	1
11439599	56225877	1
11525372	56212838	1
7988497	56212672	1
6590393	56212276	1
5525619	56210705	1
5525619	56208226	1
11390915	56202272	1
10743315	56197415	1
5868293	56185299	1
5017586	56175072	1
11313583	56173204	1
10428539	56170858	1
11446382	56164261	1
6555335	56161607	1
10728472	56158037	1
10603191	56154845	1
5806136	56139351	1
10728472	56152562	1
3277133	56149847	1
11278044	56119398	1
8578231	56147645	1
9940760	56143084	1
10391795	56141431	1
11500955	56139430	1
8303150	56139551	1
6825505	56135703	1
9670056	56131310	1
10728472	56091027	1
11492682	56111938	1
11491403	56108125	1
5565466	56107675	1
10164637	56101098	1
3512709	56083870	1
11432682	56079451	1
8290376	45222592	1
11451039	56068705	1
4268602	56067440	1
11470433	56054715	1
11135962	56054187	1
5849427	56047458	1
2085438	56020542	1
11446190	56017549	1
9994064	55999622	1
6672579	55991481	1
8479852	55995092	1
11308135	55976283	1
10100724	55952604	1
8207612	55966899	1
6032016	55966429	1
8091097	55952648	1
8207612	55952992	1
9875052	55946727	1
7440802	55881032	1
11439233	55944044	1
7004463	55924267	1
11035965	55940916	1
7422943	55819836	1
3460063	55922447	1
4278999	55919034	1
8507982	55911659	1
11082866	55899588	1
11135962	55888515	1
6941823	39933847	1
11415337	55865918	1
4481339	55862510	1
10117868	55862361	1
7932273	55861743	1
3448011	55859190	1
10223897	55854889	1
4430536	55838586	1
10629530	55839411	1
9925225	55834480	1
9947248	55830744	1
8361728	55804555	1
9995030	55820164	1
11131369	55813697	1
5520027	55703303	1
7930571	55809560	1
11396296	55799834	1
3448011	55802463	1
11386089	55788648	1
9988582	55788285	1
11031361	55787457	1
11031361	55785960	1
331174	55778478	1
9988582	55782611	1
9718282	50089668	1
156531	55774651	1
9452512	55766304	1
4494842	55766565	1
11383307	55762049	1
208127	55697826	1
11381682	55755735	1
11343149	55755587	1
11286588	55753453	1
7932273	55745235	1
10797986	55742925	1
10865832	55741046	1
8150532	55730193	1
11135962	55729059	1
4150078	55712134	1
11031361	55713725	1
11031361	55706365	1
10419886	55690189	1
11218700	55702440	1
11218700	55700787	1
2091169	55697696	1
10833061	55696362	1
9988582	55692942	1
5212614	55690318	1
11322649	55553759	1
5868293	55629678	1
8291684	55652235	1
4338000	55658570	1
11065684	55643264	1
8797830	55639744	1
9927054	55638074	1
6920946	55635300	1
9580899	55623511	1
6621793	38512813	1
11338673	55606903	1
