from,Score1,to,Score2
5868293,0,9840637,2
5868293,0,532312,1
5868293,0,2901002,1
3116753,3,7964527,0
3116753,3,10189214,0
3116753,3,8708364,0
3116753,3,8008776,0
11135962,0,7964527,0
4526288,2,9840637,2
10396157,1,103254,0
10267489,2,10836685,1
10267489,2,9081267,1
10267489,2,103254,0
8051444,-2,6926444,1
11337707,2,883431,1
11337707,2,8761414,1
9978457,1,2901002,1
9431573,0,7392741,0
9431573,0,9081267,1
9431573,0,5197270,0
11334842,1,6063482,0
11334842,1,2901002,1
11334842,1,8353711,0
10603191,1,9840637,2
10603191,1,10620028,5
8809326,1,3545273,0
6796805,0,4133641,2
11325655,0,7835267,3
11325655,0,10620028,5
8359315,0,4985733,1
8359315,0,7703958,0
8359315,0,8557832,1
8359315,0,9840637,2
9218680,0,8353711,0
2634219,0,2634219,0
2634219,0,4238408,2
7462428,0,10925936,1
7371506,0,9081267,1
7371506,0,6484158,2
6571327,0,7388477,1
11525372,2,7964527,0
7988497,0,7964527,0
7988497,0,7988497,0
6590393,2,9081267,1
5525619,2,2901002,1
5525619,2,10521959,0
5525619,2,4981721,2
5525619,2,2901002,1
11390915,-4,10077617,0
10743315,-1,10826178,0
10743315,-1,2901002,1
5868293,0,2901002,1
5017586,2,6282576,2
11313583,3,2336654,7
10428539,2,10189214,0
10428539,2,6282576,2
10428539,2,10330386,1
11446382,0,11476249,0
11446382,0,1762211,2
6555335,0,2901002,1
6555335,0,4238408,2
10728472,0,7964527,0
10603191,1,7964527,0
10603191,1,3483203,2
10603191,1,4238408,2
10603191,1,1481986,3
5806136,0,1240268,1
10728472,0,7236077,0
10728472,0,7093741,1
10728472,0,9165263,1
3277133,1,2336654,7
3277133,1,2535611,1
3277133,1,2901002,1
11278044,0,11278044,0
8578231,2,10419999,1
8578231,2,5950399,0
8578231,2,2901002,1
9940760,2,8708364,0
9940760,2,2901002,1
10391795,0,6761181,0
11500955,0,4238408,2
11500955,0,10302056,-4
11500955,0,8347081,0
8303150,2,9081267,1
8303150,2,10113401,1
8303150,2,7964527,0
6825505,-3,9081267,1
9670056,2,9534184,2
9670056,2,2901002,1
10728472,0,9237823,0
10728472,0,7964527,0
11492682,1,2901002,1
11491403,1,9758660,1
5565466,1,2901002,1
10164637,2,7964527,0
10164637,2,2535611,1
3512709,1,7964527,0
8290376,-4,6361531,2
8290376,-4,6342575,2
11451039,3,1491895,1
11470433,1,2901002,1
11135962,0,9551447,1
5849427,2,1939996,1
5849427,2,9698684,1
5849427,2,4238408,2
2085438,1,3444923,1
2085438,1,9534184,2
11446190,0,4125116,1
9994064,2,2901002,1
9994064,2,1695172,0
6672579,1,5154274,0
6672579,1,9081267,1
8479852,1,10189214,0
11308135,1,2336654,7
10100724,0,9324678,0
8207612,0,10419999,1
6032016,0,2214597,1
6032016,0,9840637,2
8091097,0,9324678,0
8207612,0,6792743,0
8207612,0,2336654,7
8207612,0,9698684,1
8207612,0,4125116,1
8207612,0,4238408,2
9875052,-1,532312,1
7440802,1,7440802,1
7440802,1,11416991,0
11439233,1,10010216,0
11439233,1,11363596,1
7004463,0,7004463,0
11035965,0,9537244,1
7422943,1,7422943,1
7422943,1,7422943,1
4278999,0,9537244,1
8507982,2,5069029,1
8507982,2,9081267,1
11082866,0,2901002,1
11135962,0,6272103,0
11135962,0,10201580,8
11135962,0,6422477,3
6941823,1,6561949,0
4481339,1,2901002,1
10117868,1,2901002,1
7932273,0,2901002,1
3448011,1,7964527,0
4430536,0,6047722,1
4430536,0,10005592,1
9925225,0,5496433,0
9925225,0,7388477,1
9925225,0,9925225,0
9947248,1,6883295,0
9947248,1,7456718,0
8361728,1,7896849,0
8361728,1,7932273,0
9995030,1,11359504,0
11131369,0,8146556,0
5520027,1,2842758,3
5520027,1,5150942,1
7930571,0,51685,3
11396296,2,3483203,2
11396296,2,6287308,2
11396296,2,7964527,0
3448011,1,10286422,1
3448011,1,5847854,2
3448011,1,9081267,1
11386089,2,5032941,0
9988582,1,7964527,0
11031361,1,4932316,2
11031361,1,10307576,0
11031361,1,3483203,2
11031361,1,7964527,0
331174,2,4125116,1
331174,2,11015427,0
331174,2,4238408,2
331174,2,2535611,1
9988582,1,9081267,1
9718282,3,11390041,0
9718282,3,6029105,0
9718282,3,827391,1
9718282,3,1240268,1
156531,2,7964527,0
156531,2,7917887,1
156531,2,2901002,1
9452512,0,6361531,2
4494842,5,9081267,1
4494842,5,7964527,0
11383307,4,10201580,8
208127,1,7964527,0
208127,1,4909087,5
208127,1,1252759,3
11381682,0,7964527,0
11343149,0,10758169,0
11343149,0,7964527,0
7932273,0,2901002,1
7932273,0,9698684,1
7932273,0,4110614,2
7932273,0,7093741,1
10797986,2,8708364,0
10797986,2,2901002,1
10865832,3,10878688,2
10865832,3,11015427,0
8150532,4,10589070,0
11135962,0,4333359,3
4150078,2,3545273,0
4150078,2,10189214,0
4150078,2,7388477,1
11031361,1,5094841,1
11031361,1,5853611,2
11031361,1,10201580,8
11218700,3,10201580,8
11218700,3,2901002,1
11218700,3,8708364,0
11218700,3,6764113,1
11218700,3,1397946,1
2091169,0,2091169,0
2091169,0,7964527,0
9988582,1,10366273,2
9988582,1,9988582,1
11322649,3,4248842,1
5868293,0,5868293,0
4338000,0,4238408,2
4338000,0,9081267,1
11065684,0,794539,2
8797830,1,11255447,1
9927054,0,7964527,0
9927054,0,4333359,3
9927054,0,4125116,1
6920946,2,2336654,7
6920946,2,7964527,0
9580899,1,7964527,0
6621793,1,7117003,1
6621793,1,6506309,1
11338673,0,9028333,0
11338673,0,8599834,0
439621,2,8874696,0
439621,2,2901002,1
9988582,1,9081267,1
4150078,2,3279716,1
6302061,3,2901002,1
8749168,2,4703367,0
8749168,2,4983450,4
8749168,2,4870005,0
8749168,2,1240268,1
11330653,0,9081267,1
11330653,0,11035597,0
4004863,0,5173426,2
4004863,0,10007115,1
11200570,4,11015427,0
11322629,1,10002343,-4
4288043,6,2901002,1
11322629,1,2901002,1
11322629,1,11323870,2
11322629,1,8144553,1
11322629,1,10002343,-4
6480757,0,9081267,1
4004863,0,1240268,1
684004,1,6256482,1
684004,1,7964527,0
7247715,-1,1499803,2
7247715,-1,2832011,1
5212614,2,10119199,2
5212614,2,4333359,3
5212614,2,7964527,0
9666094,0,9032932,0
9666094,0,9666094,0
5212614,2,6792471,2
7313804,-1,9214517,1
7313804,-1,2255198,0
7081275,0,6625815,1
7081275,0,7964527,0
10193760,0,11255365,2
439621,2,2901002,1
9758660,1,2901002,1
439621,2,2901002,1
9988582,1,4238408,2
9988582,1,4518388,1
9988582,1,7671519,0
6744260,0,6652751,1
7658885,0,7964527,0
7658885,0,6755649,0
11246230,0,3545273,0
8791503,0,7964527,0
11300648,0,10991314,0
11300648,0,4333359,3
11300648,0,10868996,0
5170800,1,2901002,1
5170800,1,10337630,0
10419999,1,2901002,1
11271281,0,2825570,0
11271281,0,8926720,0
