UserId,Score
10561031,-3
10518845,0
9289272,1
613326,1
10453850,0
8792365,2
4370943,14
4984061,0
10538114,1
9466906,1
9629771,1
8167871,0
2397318,0
8636829,-3
5597304,3
9629771,1
10529316,0
2960173,0
7763266,1
9153261,2
7086487,1
8468264,0
9629771,0
3448738,1
4394147,0
9629771,0
6375136,1
9882094,1
8444827,-1
8382707,1
6227378,3
4984061,0
10489612,2
3277133,0
10424268,-1
8167593,0
3088202,0
3987860,1
3088202,0
10477783,1
3432888,1
10117424,2
10117424,2
10117424,-1
681132,12
10458537,0
8570006,0
7420623,0
8570006,1
7420623,0
3426338,0
3642360,2
10321210,1
10445593,1
3494669,0
1305947,2
9218680,2
6279440,3
2529125,1
6387095,1
3259331,4
10095708,0
3277133,1
10133689,1
802589,1
10112876,1
2560244,1
9347860,1
9348255,1
8916162,0
9991654,0
8791503,1
6642287,0
2560244,1
10375012,1
10053244,0
10375012,1
7204030,1
9080252,0
6454830,0
10321210,2
8612523,1
10312635,0
4513726,1
3472679,2
9678643,2
10384413,1
10084965,2
8791503,0
2335020,1
601787,0
5709240,-1
10369881,0
10361602,3
3448738,0
5963678,1
7586544,1
9161067,1
7111382,3
10205020,0
3645735,1
7319366,1
2943311,1
6198903,1
887651,1
3441488,1
7319366,7
2700041,0
887651,0
9615917,0
3277133,0
9629753,1
9530972,0
8670757,1
9838554,0
10324442,2
5560898,0
5560898,0
5560898,3
1725377,0
4923281,0
3861199,-1
7925866,0
1725377,1
5724487,-1
4631379,0
3277133,-1
10099689,2
8377782,0
8951220,1
9645702,1
9874096,2
6109920,0
4850343,3
7319366,4
10112632,0
8364914,3
1725377,0
9118733,0
5560898,2
5560898,0
8203242,1
10112632,0
5560898,1
9493987,1
9493987,1
3880322,0
7134583,0
9524848,1
8705615,1
5560898,2
8705615,2
5560898,1
8705615,2
10211367,1
10266803,1
6236543,1
5560898,1
4487782,2
